#Cidade;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);LOF_2014_ABS;LOF_2014_REL;LOF_2014_REL_NOR;LOF_2014_SUA;LOF_2014_SUA_NOR
ALTO FELIZ - RS;3017.0;237312.91;0.00;0.00;3451273.92;0.00;80530.65;0.00;256517.77;389394.08;1947085.69;0.00;3826396.70;149434.74;0.00;0.00;0.00;330521.30;39910.60;0.00;1026400.73;0.00;0.00;0.00;0.00;21304.38;605893.81;118136.48;453235.26;601404.12;1.28;1.31;1.43;1.15;1.16
CAXIAS DO SUL - RS;470223.0;19027133.75;393.84;5796242.33;113881319.84;0.00;17076745.26;0.00;39883990.53;2214290.20;395866306.97;555382.96;240683097.23;18653635.03;160257.41;126060480.32;11798962.69;123776779.84;27442133.08;85448.55;6723265.13;0.00;0.00;2630411.68;0.00;0.00;13001936.52;14168083.06;216372689.44;131434991.02;1.84;1.75;1.81;1.10;1.09
LAGES - SC;158846.0;8573775.70;1979124.41;0.00;40536065.86;0.00;2629795.70;0.00;15114905.36;29164541.31;107910892.02;0.00;98179797.97;4109419.31;0.00;15987481.46;1645369.83;41336376.29;5878903.40;0.00;6766507.34;0.00;1657550.21;2783602.27;0.00;0.00;22328276.80;4353120.78;14179046.89;14367046.88;1.27;1.23;1.23;1.11;1.13
JI-PARANÁ - RO;129242.0;6574926.93;0.00;0.00;27479656.07;0.00;0.00;0.00;4063335.34;4698951.76;51386022.47;0.00;37242056.92;812039.93;0.00;19495633.29;1009610.00;940598.99;960992.76;0.00;4717063.51;0.00;0.00;0.00;0.00;0.00;14708566.61;1500188.58;3481498.61;5922171.16;1.18;1.10;1.14;1.06;1.16
PATROCÍNIO - MG;87928.0;5931327.88;684523.31;0.00;31455942.45;0.00;1220863.81;0.00;4758422.89;10328027.19;62417248.56;0.00;44067000.80;2212539.17;0.00;7393288.43;0.00;8419062.41;2998874.40;0.00;2514805.22;0.00;0.00;0.00;0.00;2409008.48;1241619.21;1687759.88;10938295.12;0.00;1.16;1.12;1.30;1.08;1.20
IBIRAIARAS - RS;7432.0;574727.11;0.00;0.00;2528684.48;0.00;0.00;0.00;594872.49;1444090.54;4677555.17;0.00;3777462.63;37387.25;0.00;873410.75;0.00;212963.08;0.00;0.00;1877616.70;0.00;0.00;0.00;0.00;0.00;1828293.30;249278.23;710940.45;1570893.08;1.28;1.26;1.25;1.03;1.02
SÃO JOSÉ DO HORTÊNCIO - RS;4419.0;161572.74;0.00;0.00;2904754.28;0.00;47480.00;0.00;503732.51;145859.41;3436004.31;0.00;2835288.73;219817.23;0.00;407365.77;0.00;163874.19;22862.61;0.00;760866.03;0.00;0.00;0.00;0.00;43900.00;1207075.38;112652.56;270400.60;319339.85;1.04;1.13;1.22;1.03;1.04
UBERLÂNDIA - MG;654681.0;36767579.59;2809288.74;0.00;182542256.87;0.00;17963906.22;0.00;40621760.59;78300860.26;493396604.86;18418.90;343186136.73;2769234.49;0.00;117935699.30;5727112.93;113362252.50;1515470.75;229200.00;10422312.09;0.00;0.00;875618.90;0.00;0.00;0.00;18507192.75;16783397.05;70124988.23;1.76;1.12;1.17;1.15;1.10
SÃO BORJA - RS;63089.0;5620816.26;0.00;0.00;20382606.06;0.00;440386.65;0.00;4671592.23;11288569.66;46370697.64;317621.70;35505279.16;224259.16;7007.99;11500734.87;40054.22;18214.68;31473.34;0.00;844945.42;0.00;0.00;422954.61;0.00;0.00;225436.73;246704.08;2684550.40;11873083.33;1.14;1.09;1.07;1.04;1.07
CHARQUEADA - SP;16268.0;1386845.28;381533.88;0.00;4610673.70;0.00;0.00;0.00;1518557.40;0.00;9400159.10;0.00;16033326.71;218458.07;0.00;3579749.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;267785.63;0.00;0.00;606518.96;389947.37;253241.29;0.00;0.98;1.03;1.34;1.22;1.13
CRAVINHOS - SP;33831.0;1799166.43;0.00;0.00;9212656.16;0.00;99525.00;0.00;6057919.08;9938240.38;20084900.26;0.00;25531531.69;2079238.36;0.00;9709892.51;0.00;5737123.12;0.00;0.00;0.00;0.00;66928.18;0.00;0.00;0.00;2038161.82;940799.29;3662645.84;0.00;1.29;1.25;1.35;1.34;1.31
INDIAPORÃ - SP;3978.0;758686.70;0.00;0.00;2491107.76;0.00;0.00;0.00;826289.58;289218.06;3868422.60;0.00;4994420.30;338193.83;84046.56;2243045.15;956256.04;0.00;210715.97;0.00;402864.19;0.00;0.00;66213.32;0.00;0.00;279242.25;1525863.91;445608.67;0.00;1.32;1.27;1.80;1.15;1.23
CÂNDIDO GODÓI - RS;6631.0;437629.24;0.00;0.00;2605600.88;0.00;0.00;0.00;470745.05;980829.20;3862685.51;0.00;5620945.92;179155.04;0.00;139325.45;5846.30;164143.30;10400.00;0.00;821859.49;0.00;0.00;42587.86;0.00;114834.18;939249.95;341955.48;540399.02;1470329.83;1.27;1.27;1.15;1.00;1.03
BOA ESPERANÇA DO IGUAÇU - PR;2739.0;0.00;0.00;0.00;2843884.24;0.00;0.00;0.00;714537.66;0.00;2788753.93;0.00;2633299.13;0.00;0.00;1046036.67;0.00;0.00;121665.57;0.00;760112.83;0.00;126993.06;0.00;0.00;0.00;2735139.33;148589.31;54542.98;0.00;1.16;1.20;1.47;1.10;1.12
